Game,Round,Category,Metacategory,Value,Response,DD,MyScore
8926,Jeopardy!,Science Class,Science,200,Incorrect,FALSE,-200
8926,Jeopardy!,Welcome To Miami,U.S. Cities,200,Correct,FALSE,200
8926,Jeopardy!,A Latin Bestiary,Animals,200,Did Not Ring In,FALSE,0
8926,Jeopardy!,Sounds Like Food,Food,200,Correct,FALSE,200
8926,Jeopardy!,World of Barbie,Pop Culture,200,Correct,FALSE,200
8926,Jeopardy!,Kin,People,200,Correct,FALSE,200
8926,Jeopardy!,Science Class,Science,400,Did Not Ring In,FALSE,0
8926,Jeopardy!,Welcome To Miami,U.S. Cities,400,Correct,FALSE,400
8926,Jeopardy!,A Latin Bestiary,Animals,400,Correct,FALSE,400
8926,Jeopardy!,Sounds Like Food,Food,400,Correct,FALSE,400
8926,Jeopardy!,World of Barbie,Pop Culture,400,Correct,FALSE,400
8926,Jeopardy!,Kin,People,400,Did Not Ring In,FALSE,0
8926,Jeopardy!,Science Class,Science,600,Incorrect,TRUE,-600
8926,Jeopardy!,Welcome To Miami,U.S. Cities,600,Correct,FALSE,600
8926,Jeopardy!,A Latin Bestiary,Animals,600,Correct,FALSE,600
8926,Jeopardy!,Sounds Like Food,Food,600,Correct,FALSE,600
8926,Jeopardy!,World of Barbie,Pop Culture,600,Correct,FALSE,600
8926,Jeopardy!,Kin,People,600,Did Not Ring In,FALSE,0
8926,Jeopardy!,Science Class,Science,800,Did Not Ring In,FALSE,0
8926,Jeopardy!,Welcome To Miami,U.S. Cities,800,Did Not Ring In,FALSE,0
8926,Jeopardy!,A Latin Bestiary,Animals,800,Correct,FALSE,800
8926,Jeopardy!,Sounds Like Food,Food,800,Correct,FALSE,800
8926,Jeopardy!,World of Barbie,Pop Culture,800,Correct,FALSE,800
8926,Jeopardy!,Kin,People,800,Correct,FALSE,800
8926,Jeopardy!,Science Class,Science,1000,Incorrect,FALSE,-1000
8926,Jeopardy!,Welcome To Miami,U.S. Cities,1000,Correct,FALSE,1000
8926,Jeopardy!,A Latin Bestiary,Animals,1000,Did Not Ring In,FALSE,0
8926,Jeopardy!,Sounds Like Food,Food,1000,Did Not Ring In,FALSE,0
8926,Jeopardy!,World of Barbie,Pop Culture,1000,Did Not Ring In,FALSE,0
8926,Jeopardy!,Kin,People,1000,Did Not Ring In,FALSE,0
8926,Double Jeopardy!,Honorary Harlem Globetrotters,People,400,Correct,FALSE,400
8926,Double Jeopardy!,Historical Films,Film,400,Correct,FALSE,400
8926,Double Jeopardy!,Greek Geography,Geography,400,Did Not Ring In,FALSE,0
8926,Double Jeopardy!,Renaissance Literature,Literature,400,Correct,FALSE,400
8926,Double Jeopardy!,Mississippi Learning,States,400,Correct,FALSE,400
8926,Double Jeopardy!,"Starts with ""G""",Words,400,Did Not Ring In,FALSE,0
8926,Double Jeopardy!,Honorary Harlem Globetrotters,People,800,Did Not Ring In,FALSE,0
8926,Double Jeopardy!,Historical Films,Film,800,Correct,TRUE,800
8926,Double Jeopardy!,Greek Geography,Geography,800,Did Not Ring In,FALSE,0
8926,Double Jeopardy!,Renaissance Literature,Literature,800,Did Not Ring In,FALSE,0
8926,Double Jeopardy!,Mississippi Learning,States,800,Did Not Ring In,FALSE,0
8926,Double Jeopardy!,"Starts with ""G""",Words,800,Did Not Ring In,FALSE,0
8926,Double Jeopardy!,Honorary Harlem Globetrotters,People,1200,Did Not Ring In,FALSE,0
8926,Double Jeopardy!,Historical Films,Film,1200,Correct,FALSE,1200
8926,Double Jeopardy!,Greek Geography,Geography,1200,Did Not Ring In,FALSE,0
8926,Double Jeopardy!,Renaissance Literature,Literature,1200,Did Not Ring In,FALSE,0
8926,Double Jeopardy!,Mississippi Learning,States,1200,Did Not Ring In,FALSE,0
8926,Double Jeopardy!,"Starts with ""G""",Words,1200,Did Not Ring In,FALSE,0
8926,Double Jeopardy!,Honorary Harlem Globetrotters,People,1600,Did Not Ring In,FALSE,0
8926,Double Jeopardy!,Historical Films,Film,1600,Correct,FALSE,1600
8926,Double Jeopardy!,Greek Geography,Geography,1600,Did Not Ring In,TRUE,0
8926,Double Jeopardy!,Renaissance Literature,Literature,1600,Did Not Ring In,FALSE,0
8926,Double Jeopardy!,Mississippi Learning,States,1600,Correct,FALSE,1600
8926,Double Jeopardy!,"Starts with ""G""",Words,1600,Did Not Ring In,FALSE,0
8926,Double Jeopardy!,Honorary Harlem Globetrotters,People,2000,Did Not Ring In,FALSE,0
8926,Double Jeopardy!,Historical Films,Film,2000,Correct,FALSE,2000
8926,Double Jeopardy!,Greek Geography,Geography,2000,Did Not Ring In,FALSE,0
8926,Double Jeopardy!,Renaissance Literature,Literature,2000,Did Not Ring In,FALSE,0
8926,Double Jeopardy!,Mississippi Learning,States,2000,Did Not Ring In,FALSE,0
8926,Double Jeopardy!,"Starts with ""G""",Words,2000,Correct,FALSE,2000
8926,Final Jeopardy!,British Monarchs,Monarchy,0,Incorrect,FALSE,0
8927,Jeopardy!,The U.S. in 1964,History,200,Correct,FALSE,200
8927,Jeopardy!,After In Living Color,People,200,Correct,FALSE,200
8927,Jeopardy!,Potpour-Everything,Television,200,Correct,FALSE,200
8927,Jeopardy!,"""M""mmmm",Food,200,Did Not Ring In,FALSE,0
8927,Jeopardy!,African Capital Haiku,Geography,200,Did Not Ring In,FALSE,0
8927,Jeopardy!,That's T-B-D,Words,200,Did Not Ring In,FALSE,0
8927,Jeopardy!,The U.S. in 1964,History,400,Did Not Ring In,FALSE,0
8927,Jeopardy!,After In Living Color,People,400,Did Not Ring In,FALSE,0
8927,Jeopardy!,Potpour-Everything,Culture,400,Correct,FALSE,400
8927,Jeopardy!,"""M""mmmm",Food,400,Correct,FALSE,400
8927,Jeopardy!,African Capital Haiku,Geography,400,Correct,FALSE,400
8927,Jeopardy!,That's T-B-D,Words,400,Did Not Ring In,FALSE,0
8927,Jeopardy!,The U.S. in 1964,History,600,Correct,FALSE,600
8927,Jeopardy!,After In Living Color,People,600,Correct,FALSE,600
8927,Jeopardy!,Potpour-Everything,Geography,600,Did Not Ring In,FALSE,0
8927,Jeopardy!,"""M""mmmm",Food,600,Correct,FALSE,600
8927,Jeopardy!,African Capital Haiku,Geography,600,Correct,FALSE,600
8927,Jeopardy!,That's T-B-D,Words,600,Correct,FALSE,600
8927,Jeopardy!,The U.S. in 1964,History,800,Correct,FALSE,800
8927,Jeopardy!,After In Living Color,People,800,Did Not Ring In,FALSE,0
8927,Jeopardy!,Potpour-Everything,History,800,Correct,FALSE,800
8927,Jeopardy!,"""M""mmmm",Food,800,Correct,FALSE,800
8927,Jeopardy!,African Capital Haiku,Geography,800,Correct,TRUE,800
8927,Jeopardy!,That's T-B-D,Words,800,Correct,FALSE,800
8927,Jeopardy!,The U.S. in 1964,History,1000,Did Not Ring In,FALSE,0
8927,Jeopardy!,After In Living Color,People,1000,Correct,FALSE,1000
8927,Jeopardy!,Potpour-Everything,Television,1000,Correct,FALSE,1000
8927,Jeopardy!,"""M""mmmm",Food,1000,Correct,FALSE,1000
8927,Jeopardy!,African Capital Haiku,Geography,1000,Did Not Ring In,FALSE,0
8927,Jeopardy!,That's T-B-D,Words,1000,Did Not Ring In,FALSE,0
8927,Double Jeopardy!,Quite a Fox,People,400,Did Not Ring In,FALSE,0
8927,Double Jeopardy!,The Sporting Life,Sports,400,Incorrect,FALSE,-400
8927,Double Jeopardy!,Influenza,Science,400,Correct,FALSE,400
8927,Double Jeopardy!,Georgia On My Mind,States,400,Correct,FALSE,400
8927,Double Jeopardy!,Play People,Literature,400,Correct,FALSE,400
8927,Double Jeopardy!,Stuck In The Middle Word With You,Words,400,Correct,FALSE,400
8927,Double Jeopardy!,Quite a Fox,People,800,Did Not Ring In,FALSE,0
8927,Double Jeopardy!,The Sporting Life,Sports,800,Did Not Ring In,FALSE,0
8927,Double Jeopardy!,Influenza,Science,800,Correct,FALSE,800
8927,Double Jeopardy!,Georgia On My Mind,States,800,Did Not Ring In,FALSE,0
8927,Double Jeopardy!,Play People,Literature,800,Incorrect,FALSE,-800
8927,Double Jeopardy!,Stuck In The Middle Word With You,Words,800,Correct,FALSE,800
8927,Double Jeopardy!,Quite a Fox,People,1200,Correct,FALSE,1200
8927,Double Jeopardy!,The Sporting Life,Sports,1200,Did Not Ring In,FALSE,0
8927,Double Jeopardy!,Influenza,Science,1200,Correct,FALSE,1200
8927,Double Jeopardy!,Georgia On My Mind,States,1200,Did Not Ring In,FALSE,0
8927,Double Jeopardy!,Play People,Literature,1200,Did Not Ring In,FALSE,0
8927,Double Jeopardy!,Stuck In The Middle Word With You,Words,1200,Correct,FALSE,1200
8927,Double Jeopardy!,Quite a Fox,People,1600,Correct,FALSE,1600
8927,Double Jeopardy!,The Sporting Life,Sports,1600,Correct,FALSE,1600
8927,Double Jeopardy!,Influenza,Science,1600,Correct,TRUE,1600
8927,Double Jeopardy!,Georgia On My Mind,States,1600,Did Not Ring In,FALSE,0
8927,Double Jeopardy!,Play People,Literature,1600,Correct,FALSE,1600
8927,Double Jeopardy!,Stuck In The Middle Word With You,Words,1600,Correct,FALSE,1600
8927,Double Jeopardy!,Quite a Fox,People,2000,Did Not Ring In,FALSE,0
8927,Double Jeopardy!,The Sporting Life,Sports,2000,Did Not Ring In,FALSE,0
8927,Double Jeopardy!,Influenza,Science,2000,Correct,FALSE,2000
8927,Double Jeopardy!,Georgia On My Mind,States,2000,Did Not Ring In,TRUE,0
8927,Double Jeopardy!,Play People,Literature,2000,Did Not Ring In,FALSE,0
8927,Double Jeopardy!,Stuck In The Middle Word With You,Words,2000,Correct,FALSE,2000
8927,Final Jeopardy!,Mythological Places,Mythology,0,Correct,FALSE,0
8928,Jeopardy!,Mammals,Animals,200,Correct,FALSE,200
8928,Jeopardy!,"""I""s In Your Stars",People,200,Correct,FALSE,200
8928,Jeopardy!,The State of Congress,Politics,200,Did Not Ring In,FALSE,0
8928,Jeopardy!,"I'm Just A Bill, Billy or William",People,200,Did Not Ring In,FALSE,0
8928,Jeopardy!,Straight Fire,Pop Culture,200,Correct,FALSE,200
8928,Jeopardy!,3 Consecutive Consonants,Words,200,Did Not Ring In,FALSE,0
8928,Jeopardy!,Mammals,Animals,400,Did Not Ring In,FALSE,0
8928,Jeopardy!,"""I""s In Your Stars",People,400,Correct,FALSE,400
8928,Jeopardy!,The State of Congress,Politics,400,Correct,FALSE,400
8928,Jeopardy!,"I'm Just A Bill, Billy or William",People,400,Correct,FALSE,400
8928,Jeopardy!,Straight Fire,Pop Culture,400,Correct,FALSE,400
8928,Jeopardy!,3 Consecutive Consonants,Words,400,Correct,FALSE,400
8928,Jeopardy!,Mammals,Animals,600,Did Not Ring In,FALSE,0
8928,Jeopardy!,"""I""s In Your Stars",People,600,Correct,FALSE,600
8928,Jeopardy!,The State of Congress,Politics,600,Did Not Ring In,FALSE,0
8928,Jeopardy!,"I'm Just A Bill, Billy or William",People,600,Correct,FALSE,600
8928,Jeopardy!,Straight Fire,Pop Culture,600,Correct,FALSE,600
8928,Jeopardy!,3 Consecutive Consonants,Words,600,Did Not Ring In,FALSE,0
8928,Jeopardy!,Mammals,Animals,800,Correct,FALSE,800
8928,Jeopardy!,"""I""s In Your Stars",People,800,Correct,FALSE,800
8928,Jeopardy!,The State of Congress,Politics,800,Incorrect,FALSE,-800
8928,Jeopardy!,"I'm Just A Bill, Billy or William",People,800,Correct,TRUE,800
8928,Jeopardy!,Straight Fire,Pop Culture,800,Correct,FALSE,800
8928,Jeopardy!,3 Consecutive Consonants,Words,800,Correct,FALSE,800
8928,Jeopardy!,Mammals,Animals,1000,Correct,FALSE,1000
8928,Jeopardy!,"""I""s In Your Stars",People,1000,Did Not Ring In,FALSE,0
8928,Jeopardy!,The State of Congress,Politics,1000,Did Not Ring In,FALSE,0
8928,Jeopardy!,"I'm Just A Bill, Billy or William",People,1000,Correct,FALSE,1000
8928,Jeopardy!,Straight Fire,Pop Culture,1000,Correct,FALSE,1000
8928,Jeopardy!,3 Consecutive Consonants,Words,1000,Did Not Ring In,FALSE,0
8928,Double Jeopardy!,"To Sir Paul, With Love",Music,400,Incorrect,FALSE,-400
8928,Double Jeopardy!,"""C""s The Day",History,400,Correct,FALSE,400
8928,Double Jeopardy!,Also A Candy,Pop Culture,400,Did Not Ring In,FALSE,0
8928,Double Jeopardy!,Pueblos Magicos,Geography,400,Correct,FALSE,400
8928,Double Jeopardy!,& We Have A Novel Title,Literature,400,Correct,FALSE,400
8928,Double Jeopardy!,15-Letter Words,Words,400,Correct,FALSE,400
8928,Double Jeopardy!,"To Sir Paul, With Love",Music,800,Did Not Ring In,FALSE,0
8928,Double Jeopardy!,"""C""s The Day",History,800,Correct,FALSE,800
8928,Double Jeopardy!,Also A Candy,Pop Culture,800,Correct,FALSE,800
8928,Double Jeopardy!,Pueblos Magicos,Geography,800,Correct,FALSE,800
8928,Double Jeopardy!,& We Have A Novel Title,Literature,800,Correct,FALSE,800
8928,Double Jeopardy!,15-Letter Words,Words,800,Correct,FALSE,800
8928,Double Jeopardy!,"To Sir Paul, With Love",Music,1200,Correct,FALSE,1200
8928,Double Jeopardy!,"""C""s The Day",History,1200,Correct,FALSE,1200
8928,Double Jeopardy!,Also A Candy,Pop Culture,1200,Did Not Ring In,FALSE,0
8928,Double Jeopardy!,Pueblos Magicos,Geography,1200,Did Not Ring In,FALSE,0
8928,Double Jeopardy!,& We Have A Novel Title,Literature,1200,Correct,TRUE,1200
8928,Double Jeopardy!,15-Letter Words,Words,1200,Did Not Ring In,FALSE,0
8928,Double Jeopardy!,"To Sir Paul, With Love",Music,1600,Did Not Ring In,FALSE,0
8928,Double Jeopardy!,"""C""s The Day",History,1600,Did Not Ring In,FALSE,0
8928,Double Jeopardy!,Also A Candy,Pop Culture,1600,Correct,FALSE,1600
8928,Double Jeopardy!,Pueblos Magicos,Geography,1600,Did Not Ring In,FALSE,0
8928,Double Jeopardy!,& We Have A Novel Title,Literature,1600,Did Not Ring In,FALSE,0
8928,Double Jeopardy!,15-Letter Words,Words,1600,Correct,FALSE,1600
8928,Double Jeopardy!,"To Sir Paul, With Love",Music,2000,Correct,FALSE,2000
8928,Double Jeopardy!,"""C""s The Day",History,2000,Correct,FALSE,2000
8928,Double Jeopardy!,Also A Candy,Pop Culture,2000,Incorrect,TRUE,-2000
8928,Double Jeopardy!,Pueblos Magicos,Geography,2000,Did Not Ring In,FALSE,0
